procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 240384 2697912 848740 4563832    0    0     4   283  954 2334  1  1 98  0  0
 0  0 240384 2705532 848756 4563832    0    0     4    46  842 2210  1  0 98  0  0
 0  0 240384 2708348 848764 4563948    0    0     4   182  794 2117  1  0 99  0  0
 0  0 240384 2704596 848768 4564004    0    0     4    51  870 2224  1  0 98  0  0
 0  0 240384 2700140 849068 4564068    0    0     4   625 1211 3172  2  1 97  0  0
 0  0 240384 2698896 849068 4563956    0    0     4   209  855 2195  1  0 98  0  0
 2  0 240384 2688968 849088 4572200    0    0    10   107 2103 6160  3  1 95  0  0
 1  0 240384 2682280 849096 4581004    0    0     4    35 1109 2811  2  1 98  0  0
 0  0 240384 2658584 849108 4592532    0    0     4   326 1875 3792  2  1 98  0  0
 0  0 240384 2609792 849112 4617120    0    0     5   235 4962 8324  6  1 93  0  0
 1  0 240384 2604756 849124 4602576    0    0     5   233 5508 8639  6  2 92  0  0
 0  0 240384 2606732 849132 4602372    0    0     5    89 3271 6237  4  1 94  0  0
 1  0 240384 2594324 849160 4604096    0    0    10   293 5643 10122  7  2 91  0  0
 0  0 240384 2605136 849176 4605072    0    0     5   253 5733 9490  7  2 91  0  0
 4  0 240384 2603648 849180 4602228    0    0     5    11 6226 10510  7  2 92  0  0
 0  0 240384 2593332 849212 4605476    0    0     5   426 4577 6766  4  1 95  0  0
 2  0 240384 2582796 849464 4602888    0    0     5   663 5147 10575  8  2 90  0  0
 1  0 240384 2585464 849464 4595936    0    0     4   275 3114 6351  5  1 94  0  0
 0  0 240384 2632832 849496 4598600    0    0     5   201 4798 6989  5  1 94  0  0
 0  0 240384 2731912 849508 4558604    0    0     4   316 4464 5269  3  1 96  0  0
 0  0 240384 2787848 849520 4561456    0    0     5   475 4134 6065  4  1 95  0  0
 0  0 240384 2858112 849552 4565292    0    0     8    58 5205 8251  5  2 93  0  0
 0  0 240384 2935264 849564 4492376    0    0    13   421 4901 7181  4  1 95  0  0
 0  0 240384 2876096 849564 4531752    0    0     5   485 4466 6161  4  1 95  0  0
 1  0 240384 2903048 849848 4494920    0    0   229   110 2727 68757  3  1 96  0  0
 0  0 218880 3271220 849872 4345536    2    0   299   212 4310 6726  3  1 96  0  0
 0  0 218880 3292300 849888 4316976    0    0    31   517 2660 2518  1  1 98  0  0
 0  0 218880 3201032 850256 4409948    0    0  2010   124 3688 4725  3  1 96  0  0
 0  0 218880 3260568 850452 4325092    0    0     4   842 2278 3652  1  1 98  0  0
 0  0 218880 3263960 850472 4329832    0    0     6    73 3435 4017  1  1 98  0  0
 1  0 218880 3336028 850484 4336548    0    0     4   281 3702 3593  2  1 98  0  0
 0  0 218880 3433484 850488 4308788    0    0     5    28 3787 3555  1  1 98  0  0
 0  0 218880 3432892 850500 4311104    0    0     4   436 3560 3821  1  1 98  0  0
 3  0 218880 3442736 850508 4300740    0    0     4   142 3755 4000  2  1 97  0  0
 1  0 218880 3427656 850512 4305032    0    0     4   142 3366 3565  1  1 98  0  0
 0  0 218880 3425660 850512 4313600    0    0     4   107 4076 4403  2  1 98  0  0
 1  0 218880 3437440 850516 4298916    0    0     5   168 3512 3645  2  1 98  0  0
 1  0 218880 3442300 850532 4296736    0    0     9   246 3212 3209  1  1 98  0  0
 1  0 218880 3432988 850536 4306104    0    0     5    18 3384 3500  1  1 98  0  0
 0  0 218880 3430488 850536 4306328    0    0     5   163 3461 3230  1  1 98  0  0
 0  0 218880 3414060 850804 4302404    0    0     5   645 2954 3746  1  1 98  0  0
 2  0 218880 3418796 850804 4314396    0    0     5   271 4131 4195  2  1 98  0  0
 1  0 218880 3420732 850828 4305172    0    0     5    93 4071 4351  2  1 97  0  0
 0  0 218880 3408120 850848 4315336    0    0     5   221 3627 4017  2  1 97  0  0
 1  0 218880 3401968 850860 4323668    0    0     5    65 4134 4263  2  1 97  0  0
 1  0 218880 3426676 850864 4301104    0    0     5   162 3291 3079  1  0 98  0  0
 0  0 218880 3424200 850864 4314232    0    0     6   146 3527 3672  2  1 97  0  0
 1  0 218880 3427932 850868 4310264    0    0     6   270 4056 3974  2  1 98  0  0
 0  0 218880 3427016 850872 4316864    0    0     6   142 3307 3332  1  1 98  0  0
 0  0 218880 3425156 850880 4312452    0    0     6   140 4045 4185  2  1 97  0  0
 0  0 218880 3423032 850884 4313304    0    0     6   176 3351 3297  1  1 98  0  0
 3  0 218880 3410080 850884 4324928    0    0     6   143 3930 3901  2  1 98  0  0
 0  0 218880 3421128 851188 4306320    0    0     6   765 3536 4240  2  1 97  0  0
