procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5005820 900276 5851096    0    0     0   926 1093 3308  1  1 98  0  0
 0  0      0 4990704 900288 5866296    0    0     0   124 1582 3616  2  1 97  0  0
 1  0      0 5003304 900288 5858800    0    0     0   502  976 2216  1  0 99  0  0
 1  0      0 4962856 900288 5885652    0    0     0    90 2429 4983  3  1 96  0  0
 1  0      0 4968248 900292 5879180    0    0     0    68 2055 3665  2  1 98  0  0
 2  0      0 4996168 900296 5851852    0    0     0    23 2689 4357  2  1 97  0  0
 1  0      0 5009396 900304 5851428    0    0     0    30 3081 5535  3  1 96  0  0
 1  0      0 5013552 900304 5855580    0    0     0    58 2586 4505  3  1 97  0  0
 0  0      0 5013200 900308 5848772    0    0     0    50 3374 5110  3  1 97  0  0
 0  0      0 5008288 900312 5853876    0    0     0    55 2132 3758  2  1 98  0  0
 1  0      0 5009552 900316 5853824    0    0     0    93 2247 4040  2  1 97  0  0
 0  0      0 4992420 900316 5859528    0    0     0    21 3374 5365  3  1 97  0  0
 0  0      0 4978180 900624 5862740    0    0     0   929 3879 5742  3  1 96  0  0
 1  0      0 4964960 900636 5874112    0    0     0    44 3792 7120  5  2 94  0  0
 0  0      0 4969732 900640 5878600    0    0     0    45 3790 5065  2  1 97  0  0
 1  0      0 4983684 900660 5867424    0    0     0   118 3385 4972  3  1 96  0  0
 0  0      0 4971376 900660 5876380    0    0     0    47 3422 4748  2  1 96  0  0
 0  0      0 4927932 900684 5906992    0    0     0    96 3224 4109  2  1 97  0  0
 0  0      0 4999360 900688 5847568    0    0     0    50  746 1724  1  0 99  0  0
 0  0      0 5004036 900688 5847932    0    0     0    53  855 1951  1  0 99  0  0
 0  0      0 5004168 900688 5847100    0    0     0    14  688 1509  1  0 99  0  0
 0  0      0 5001504 900692 5847364    0    0     0    10  690 1571  1  0 99  0  0
 0  0      0 5001260 900696 5847112    0    0     0     5  654 1480  1  0 99  0  0
 1  0      0 5000068 900700 5847112    0    0     0     3  678 1519  1  0 99  0  0
 1  0      0 4988332 900972 5847528    0    0     0   918  923 2680  1  0 98  0  0
 0  0      0 4935676 900972 5871600    0    0     0   178 1014 2685  1  0 98  0  0
 0  0      0 4951144 900972 5856448    0    0     0    87  683 1543  1  0 99  0  0
 0  0      0 4948692 900980 5856780    0    0     0   174  726 1645  1  0 99  0  0
